Episodes,Returns,Lengths
0.0,0.9464278,138.8
0.25,0.9457992000000001,138.9
0.5,0.94227755,138.55
0.75,0.9395446000000002,138.3
1.0,0.9360797500000002,138.05
1.25,0.9344827,137.75
1.5,0.9339449999999999,137.7
1.75,0.9338730999999999,137.75
2.0,0.93595255,138.2
2.25,0.934886,137.95
2.5,0.9352314500000001,138.0
2.75,0.9335326500000001,137.75
3.0,0.9339862999999999,137.85
3.25,0.9386958999999999,138.1
3.5,0.9437601499999999,138.35
3.75,0.9470330500000002,138.35
4.0,0.9501265500000002,138.3
4.25,0.9470694500000001,138.1
4.5,0.9434817499999999,137.85
4.75,0.9377312499999999,137.3
5.0,0.9320030499999998,136.8
5.25,0.93046005,136.8
5.5,0.9306737500000001,137.1
5.75,0.9300013500000001,137.3
6.0,0.9376453,136.8
6.25,0.9364835499999999,136.8
6.5,0.9349096999999998,136.7
6.75,0.9368944000000001,137.3
7.0,0.9340978000000002,137.05
7.25,0.9345497,137.5
7.5,0.93393315,137.6
7.75,0.9458065499999998,137.85
8.0,0.9458417499999999,137.8
8.25,0.9490874,138.3
8.5,0.9612534499999998,138.45
8.75,0.9614441500000002,138.6
9.0,0.9601410999999999,138.5
9.25,0.97328545,138.85
9.5,0.9729394499999999,138.75
9.75,0.97519785,139.0
10.0,0.9779564000000001,139.25
10.25,0.97987235,139.5
10.5,0.9829479999999998,139.9
10.75,0.9827864500000001,139.85
11.0,0.9726323000000001,140.2
11.25,0.9745022500000001,140.45
11.5,0.97674185,140.7
11.75,0.9776069,140.6
12.0,0.9798046499999999,140.65
12.25,0.9822542499999999,140.7
12.5,0.9850847999999999,141.0
12.75,0.9741957999999998,140.95
13.0,0.9726603,140.65
13.25,0.96901175,140.2
13.5,0.9577176999999999,140.35
13.75,0.9564058,140.2
14.0,0.95791795,140.55
14.25,0.9508125500000002,140.65
14.5,0.9571931500000002,141.1
14.75,0.9612995,141.25
15.0,0.9652101,141.45
15.25,0.9638893999999999,141.1
15.5,0.9629782,140.85
15.75,0.9647743,141.0
16.0,0.9671609,141.1
16.25,0.97042415,141.4
16.5,0.97347625,141.7
16.75,0.97337285,141.4
17.0,0.9855069499999999,141.45
17.25,0.9831994999999999,141.1
