Episodes,Returns,Lengths
0.0,-170.4562194118227,300.0
0.25,-189.38788543585454,300.0
0.5,-170.4562194118227,300.0
0.75,-169.28135239589932,300.0
1.0,-169.67175473168504,300.0
1.25,-169.67175473168504,300.0
1.5,-169.67175473168504,300.0
1.75,-168.8745415255039,300.0
2.0,-170.04940854142725,300.0
2.25,-170.04940854142725,300.0
2.5,-151.11774251739544,300.0
2.75,-151.49539632713768,300.0
3.0,-151.10499399135196,300.0
3.25,-152.27986100727531,300.0
3.5,-151.10499399135193,300.0
3.75,-170.03666001538377,300.0
4.0,-150.3205293112143,300.0
4.25,-151.49539632713766,300.0
4.5,-171.60192936709285,300.0
4.75,-191.31806007126232,300.0
5.0,-191.31806007126232,300.0
5.25,-191.6957138810046,300.0
5.5,-210.62737990503643,300.0
5.75,-191.6957138810046,300.0
6.0,-191.30531154521887,300.0
6.25,-191.71212241561426,300.0
6.5,-191.71212241561426,300.0
6.75,-192.1189332860097,300.0
7.0,-192.1189332860097,300.0
7.25,-173.18726726197787,300.0
7.5,-192.1189332860097,300.0
7.75,-191.74127947626747,300.0
8.0,-190.9568147961298,300.0
8.25,-190.9568147961298,300.0
8.5,-190.9568147961298,300.0
8.75,-190.9568147961298,300.0
9.0,-210.67294550029928,300.0
9.25,-209.8757322941182,300.0
9.5,-189.769199254163,300.0
9.75,-189.36238838376758,300.0
10.0,-208.29405440779942,300.0
10.25,-207.91640059805718,300.0
10.5,-209.0912676139805,300.0
10.75,-228.40058744775462,300.0
11.0,-227.616122767617,300.0
11.25,-227.616122767617,300.0
11.5,-227.61612276761693,300.0
11.75,-227.20931189722154,300.0
12.0,-226.03444488129816,300.0
12.25,-246.14097792125335,300.0
12.5,-246.14097792125335,300.0
12.75,-246.925442601391,300.0
13.0,-227.99377657735917,300.0
13.25,-226.8189095614358,300.0
13.5,-226.81890956143585,300.0
13.75,-227.1965633711781,300.0
14.0,-226.4120986910404,300.0
14.25,-207.10277885726632,300.0
14.5,-226.03444488129813,300.0
14.75,-225.65679107155597,300.0
15.0,-225.65679107155592,300.0
15.25,-225.65679107155592,300.0
15.5,-224.4819240556326,300.0
15.75,-224.4819240556326,300.0
16.0,-224.4819240556326,300.0
16.25,-223.69745937549493,300.0
16.5,-224.4819240556326,300.0
16.75,-224.888734926028,300.0
17.0,-224.88873492602798,300.0
17.25,-224.09152171984684,300.0
17.5,-205.159855695815,300.0
17.75,-205.15985569581503,300.0
18.0,-224.09152171984684,300.0
18.25,-224.46917552958908,300.0
18.5,-205.53750950555724,300.0
18.75,-205.15985569581503,300.0
19.0,-205.15985569581503,300.0
19.25,-224.8759863999845,300.0
19.5,-224.8759863999845,300.0
19.75,-224.8759863999845,300.0
20.0,-225.6604510801222,300.0
20.25,-206.72878505609032,300.0
20.5,-207.9036520720137,300.0
20.75,-188.59433223823962,300.0
21.0,-188.59433223823962,300.0
21.25,-188.59433223823962,300.0
21.5,-187.80986755810198,300.0
21.75,-187.0254028779643,300.0
22.0,-187.40305668770654,300.0
22.25,-187.40305668770657,300.0
22.5,-206.71237652148065,300.0
22.75,-206.30556565108523,300.0
23.0,-206.68321946082747,300.0
23.25,-206.30556565108523,300.0
23.5,-225.23723167511702,300.0
23.75,-206.30556565108517,300.0
24.0,-187.3738996270534,300.0
24.25,-186.58943494691573,300.0
24.5,-186.58943494691573,300.0
24.75,-186.58943494691573,300.0
25.0,-166.87330424274626,300.0
25.25,-185.80497026677807,300.0
25.5,-184.6301032508547,300.0
25.75,-203.93942308462877,300.0
26.0,-203.93942308462877,300.0
26.25,-204.317076894371,300.0
26.5,-185.38541087033917,300.0
26.75,-186.56027788626255,300.0
27.0,-167.25095805248847,300.0
27.25,-168.04817125866958,300.0
27.5,-168.04817125866958,300.0
27.75,-168.84538446485072,300.0
28.0,-168.84538446485072,300.0
28.25,-170.0202514807741,300.0
28.5,-170.80471616091174,300.0
28.75,-190.11403599468582,300.0
29.0,-209.4233558284599,300.0
29.25,-209.80100963820215,300.0
29.5,-190.8693436141703,300.0
29.75,-190.8693436141703,300.0
30.0,-210.1786634479444,300.0
30.25,-210.55631725768663,300.0
30.5,-211.73118427360995,300.0
